Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Labetalol,"IV, PO",10–20 mg IV q10 min PRN or infusion 0.5–2 mg/min,PRN / infusion,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O45), """", $O45*1.0)","=IF(ISBLANK($O45), """", $O45*1.5)","=IF(ISBLANK($O45), """", $O45*2.0)","=IF(ISBLANK($O45), """", 4*MIN(10,$O45) + 2*MAX(0,MIN(10,$O45-10)) + 1*MAX(0,$O45-20))","=IF(ISBLANK($O45), """", $O45*30)"
Albuterol (nebulized),INH,2.5 mg neb q4–6h PRN (or 4–8 puffs MDI q20min ×3),q4–6h PRN,—,1.25–2.5 mg neb q4–6h PRN,2.5 mg neb q4–6h PRN (or by weight),2.5 mg neb q4–6h PRN,No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O46), """", $O46*1.0)","=IF(ISBLANK($O46), """", $O46*1.5)","=IF(ISBLANK($O46), """", $O46*2.0)","=IF(ISBLANK($O46), """", 4*MIN(10,$O46) + 2*MAX(0,MIN(10,$O46-10)) + 1*MAX(0,$O46-20))","=IF(ISBLANK($O46), """", $O46*30)"
Ipratropium (nebulized),INH,0.5 mg neb q6–8h,q6–8h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O47), """", $O47*1.0)","=IF(ISBLANK($O47), """", $O47*1.5)","=IF(ISBLANK($O47), """", $O47*2.0)","=IF(ISBLANK($O47), """", 4*MIN(10,$O47) + 2*MAX(0,MIN(10,$O47-10)) + 1*MAX(0,$O47-20))","=IF(ISBLANK($O47), """", $O47*30)"
Methylprednisolone,IV,40–125 mg IV q6–12h (exacerbations),q6–12h,—,—,1–2 mg/kg/day divided q6–12h (status asthmaticus higher),0.5–1 mg/kg q6–12h (max adult),No adjustment,Caution hepatic impairment; monitor,,,,,,"=IF(ISBLANK($O48), """", $O48*1.0)","=IF(ISBLANK($O48), """", $O48*1.5)","=IF(ISBLANK($O48), """", $O48*2.0)","=IF(ISBLANK($O48), """", 4*MIN(10,$O48) + 2*MAX(0,MIN(10,$O48-10)) + 1*MAX(0,$O48-20))","=IF(ISBLANK($O48), """", $O48*30)"
Prednisone,PO,40–60 mg PO daily (taper per indication),Daily,—,—,1–2 mg/kg/day PO once daily (max adult),1 mg/kg/day (max adult),No adjustment,No adjustment (use caution),,,,,,"=IF(ISBLANK($O49), """", $O49*1.0)","=IF(ISBLANK($O49), """", $O49*1.5)","=IF(ISBLANK($O49), """", $O49*2.0)","=IF(ISBLANK($O49), """", 4*MIN(10,$O49) + 2*MAX(0,MIN(10,$O49-10)) + 1*MAX(0,$O49-20))","=IF(ISBLANK($O49), """", $O49*30)"
Insulin glargine,SC,10–40 units SC q24h (titrate),q24h,—,—,Start 0.2–0.5 units/kg/day total insulin; split per regimen,0.2–0.5 units/kg/day (titrate),Insulin requirements decrease in renal failure,Requirements may decrease; monitor glucose,,,,,,"=IF(ISBLANK($O50), """", $O50*1.0)","=IF(ISBLANK($O50), """", $O50*1.5)","=IF(ISBLANK($O50), """", $O50*2.0)","=IF(ISBLANK($O50), """", 4*MIN(10,$O50) + 2*MAX(0,MIN(10,$O50-10)) + 1*MAX(0,$O50-20))","=IF(ISBLANK($O50), """", $O50*30)"
Insulin lispro (correctional),SC,1–10+ units SC with meals/HS per sliding scale,AC/HS,—,—,Weight/ISF-based with meals; typical 0.5–1 unit/10–15 g carbs,Similar adolescent dosing with ISF/ICR,Lower requirements with renal failure,Lower requirements with hepatic failure,,,,,,"=IF(ISBLANK($O51), """", $O51*1.0)","=IF(ISBLANK($O51), """", $O51*1.5)","=IF(ISBLANK($O51), """", $O51*2.0)","=IF(ISBLANK($O51), """", 4*MIN(10,$O51) + 2*MAX(0,MIN(10,$O51-10)) + 1*MAX(0,$O51-20))","=IF(ISBLANK($O51), """", $O51*30)"
Dextrose 50%,IV,25 g IV push for hypoglycemia; repeat PRN,PRN,D10W 2–3 mL/kg IV (avoid D50% in neonates),D25W 2 mL/kg IV (or D10W 5 mL/kg),D25W 2 mL/kg or D10W 5 mL/kg,D50W 1 mL/kg (older teens),No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O52), """", $O52*1.0)","=IF(ISBLANK($O52), """", $O52*1.5)","=IF(ISBLANK($O52), """", $O52*2.0)","=IF(ISBLANK($O52), """", 4*MIN(10,$O52) + 2*MAX(0,MIN(10,$O52-10)) + 1*MAX(0,$O52-20))","=IF(ISBLANK($O52), """", $O52*30)"
Glucagon,"IM, IV",1 mg IM/IV for severe hypoglycemia,PRN,—,—,<25 kg: 0.5 mg IM/IV; ≥25 kg: 1 mg,1 mg IM/IV,No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O53), """", $O53*1.0)","=IF(ISBLANK($O53), """", $O53*1.5)","=IF(ISBLANK($O53), """", $O53*2.0)","=IF(ISBLANK($O53), """", 4*MIN(10,$O53) + 2*MAX(0,MIN(10,$O53-10)) + 1*MAX(0,$O53-20))","=IF(ISBLANK($O53), """", $O53*30)"
Levothyroxine,"PO, IV",25–125 mcg PO daily (myxedema coma: 200–400 mcg IV load),Daily,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O54), """", $O54*1.0)","=IF(ISBLANK($O54), """", $O54*1.5)","=IF(ISBLANK($O54), """", $O54*2.0)","=IF(ISBLANK($O54), """", 4*MIN(10,$O54) + 2*MAX(0,MIN(10,$O54-10)) + 1*MAX(0,$O54-20))","=IF(ISBLANK($O54), """", $O54*30)"
Pantoprazole,"IV, PO",40 mg IV/PO q24h (upper GI bleed: 80 mg IV bolus then 8 mg/h),q24h / infusion,—,—,1 mg/kg/day PO (max 40 mg),40 mg q24h,No adjustment,No adjustment,,,,,,"=IF(ISBLANK($O55), """", $O55*1.0)","=IF(ISBLANK($O55), """", $O55*1.5)","=IF(ISBLANK($O55), """", $O55*2.0)","=IF(ISBLANK($O55), """", 4*MIN(10,$O55) + 2*MAX(0,MIN(10,$O55-10)) + 1*MAX(0,$O55-20))","=IF(ISBLANK($O55), """", $O55*30)"
Famotidine,"IV, PO",20 mg PO/IV q12h (CrCl adjust),q12h,—,0.5 mg/kg q12h (max 20 mg/dose),0.5 mg/kg q12h (max 20 mg),20 mg q12h,Adjust if CrCl <50; extend interval,No adjustment,,,,,,"=IF(ISBLANK($O56), """", $O56*1.0)","=IF(ISBLANK($O56), """", $O56*1.5)","=IF(ISBLANK($O56), """", $O56*2.0)","=IF(ISBLANK($O56), """", 4*MIN(10,$O56) + 2*MAX(0,MIN(10,$O56-10)) + 1*MAX(0,$O56-20))","=IF(ISBLANK($O56), """", $O56*30)"
Ondansetron,"IV, PO",4–8 mg IV/PO q8h PRN,q8h PRN,—,0.15 mg/kg IV q8h (max 4 mg/dose),0.15 mg/kg IV/PO q8h (max 8 mg/dose),4–8 mg q8h,No adjustment,Reduce dosing in severe hepatic impairment (max 8 mg/day),,,,,,"=IF(ISBLANK($O57), """", $O57*1.0)","=IF(ISBLANK($O57), """", $O57*1.5)","=IF(ISBLANK($O57), """", $O57*2.0)","=IF(ISBLANK($O57), """", 4*MIN(10,$O57) + 2*MAX(0,MIN(10,$O57-10)) + 1*MAX(0,$O57-20))","=IF(ISBLANK($O57), """", $O57*30)"
Prochlorperazine,"IV, PO",5–10 mg IV/PO q6–8h PRN,q6–8h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O58), """", $O58*1.0)","=IF(ISBLANK($O58), """", $O58*1.5)","=IF(ISBLANK($O58), """", $O58*2.0)","=IF(ISBLANK($O58), """", 4*MIN(10,$O58) + 2*MAX(0,MIN(10,$O58-10)) + 1*MAX(0,$O58-20))","=IF(ISBLANK($O58), """", $O58*30)"
Metoclopramide,"IV, PO",5–10 mg IV/PO q6–8h,q6–8h,—,—,0.1–0.2 mg/kg q6–8h (max 10 mg/dose),Same (monitor EPS),Adjust if CrCl <40,Use caution; reduce dose,,,,,,"=IF(ISBLANK($O59), """", $O59*1.0)","=IF(ISBLANK($O59), """", $O59*1.5)","=IF(ISBLANK($O59), """", $O59*2.0)","=IF(ISBLANK($O59), """", 4*MIN(10,$O59) + 2*MAX(0,MIN(10,$O59-10)) + 1*MAX(0,$O59-20))","=IF(ISBLANK($O59), """", $O59*30)"
Lactulose,PO,"20–30 g PO q1–2h until 2–3 BMs/day, then titrate",q1–2h then TID/QID,—,—,0.7–2 g/kg/day divided to 2–3 soft stools/day,Same goal-based titration,No adjustment,Indicated in hepatic encephalopathy; titrate to 2–3 BMs/day,,,,,,"=IF(ISBLANK($O60), """", $O60*1.0)","=IF(ISBLANK($O60), """", $O60*1.5)","=IF(ISBLANK($O60), """", $O60*2.0)","=IF(ISBLANK($O60), """", 4*MIN(10,$O60) + 2*MAX(0,MIN(10,$O60-10)) + 1*MAX(0,$O60-20))","=IF(ISBLANK($O60), """", $O60*30)"
Rifaximin,PO,550 mg PO q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O61), """", $O61*1.0)","=IF(ISBLANK($O61), """", $O61*1.5)","=IF(ISBLANK($O61), """", $O61*2.0)","=IF(ISBLANK($O61), """", 4*MIN(10,$O61) + 2*MAX(0,MIN(10,$O61-10)) + 1*MAX(0,$O61-20))","=IF(ISBLANK($O61), """", $O61*30)"
Octreotide (bleed),IV,50 mcg IV bolus then 50 mcg/h infusion,Infusion,—,—,1–2 mcg/kg/h infusion (after 1–2 mcg/kg bolus),Similar weight-based dosing,No adjustment,Caution hepatic impairment,,,,,,"=IF(ISBLANK($O62), """", $O62*1.0)","=IF(ISBLANK($O62), """", $O62*1.5)","=IF(ISBLANK($O62), """", $O62*2.0)","=IF(ISBLANK($O62), """", 4*MIN(10,$O62) + 2*MAX(0,MIN(10,$O62-10)) + 1*MAX(0,$O62-20))","=IF(ISBLANK($O62), """", $O62*30)"
Furosemide,"IV, PO",20–80 mg IV/PO q6–12h (higher in CKD),q6–12h,—,0.5–1 mg/kg IV/PO q6–12h,0.5–2 mg/kg IV/PO q6–12h (max 6 mg/kg/day),0.5–1 mg/kg q6–12h (max adult doses),Higher doses in CKD; monitor,Caution hepatic disease (electrolytes),,,,,,"=IF(ISBLANK($O63), """", $O63*1.0)","=IF(ISBLANK($O63), """", $O63*1.5)","=IF(ISBLANK($O63), """", $O63*2.0)","=IF(ISBLANK($O63), """", 4*MIN(10,$O63) + 2*MAX(0,MIN(10,$O63-10)) + 1*MAX(0,$O63-20))","=IF(ISBLANK($O63), """", $O63*30)"
Bumetanide,"IV, PO",0.5–2 mg IV/PO q6–12h,q6–12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O64), """", $O64*1.0)","=IF(ISBLANK($O64), """", $O64*1.5)","=IF(ISBLANK($O64), """", $O64*2.0)","=IF(ISBLANK($O64), """", 4*MIN(10,$O64) + 2*MAX(0,MIN(10,$O64-10)) + 1*MAX(0,$O64-20))","=IF(ISBLANK($O64), """", $O64*30)"
Spironolactone,PO,25–100 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O65), """", $O65*1.0)","=IF(ISBLANK($O65), """", $O65*1.5)","=IF(ISBLANK($O65), """", $O65*2.0)","=IF(ISBLANK($O65), """", 4*MIN(10,$O65) + 2*MAX(0,MIN(10,$O65-10)) + 1*MAX(0,$O65-20))","=IF(ISBLANK($O65), """", $O65*30)"
Torsemide,PO,10–40 mg PO q24h,q24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O66), """", $O66*1.0)","=IF(ISBLANK($O66), """", $O66*1.5)","=IF(ISBLANK($O66), """", $O66*2.0)","=IF(ISBLANK($O66), """", 4*MIN(10,$O66) + 2*MAX(0,MIN(10,$O66-10)) + 1*MAX(0,$O66-20))","=IF(ISBLANK($O66), """", $O66*30)"
Potassium chloride (oral),PO,20–40 mEq PO q8–12h (max single dose 40 mEq),q8–12h,—,—,1–2 mEq/kg/day divided; max single 20 mEq,Similar; max adult single 40 mEq,Avoid hyperkalemia; reduce/hold in renal failure,No adjustment,,,,,,"=IF(ISBLANK($O67), """", $O67*1.0)","=IF(ISBLANK($O67), """", $O67*1.5)","=IF(ISBLANK($O67), """", $O67*2.0)","=IF(ISBLANK($O67), """", 4*MIN(10,$O67) + 2*MAX(0,MIN(10,$O67-10)) + 1*MAX(0,$O67-20))","=IF(ISBLANK($O67), """", $O67*30)"
Potassium chloride (IV),IV,10–20 mEq/h (central up to 40 mEq/h with monitoring),Per hour,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O68), """", $O68*1.0)","=IF(ISBLANK($O68), """", $O68*1.5)","=IF(ISBLANK($O68), """", $O68*2.0)","=IF(ISBLANK($O68), """", 4*MIN(10,$O68) + 2*MAX(0,MIN(10,$O68-10)) + 1*MAX(0,$O68-20))","=IF(ISBLANK($O68), """", $O68*30)"
Magnesium sulfate,IV,1–2 g IV q1h ×1–4 doses (arrhythmia/low Mg),Per hour,—,—,25–50 mg/kg IV over 1 h (max 2 g),"Same, max adult doses",Caution in renal failure (accumulation),No adjustment,,,,,,"=IF(ISBLANK($O69), """", $O69*1.0)","=IF(ISBLANK($O69), """", $O69*1.5)","=IF(ISBLANK($O69), """", $O69*2.0)","=IF(ISBLANK($O69), """", 4*MIN(10,$O69) + 2*MAX(0,MIN(10,$O69-10)) + 1*MAX(0,$O69-20))","=IF(ISBLANK($O69), """", $O69*30)"
Calcium gluconate,IV,1–2 g IV over 10–20 min,PRN,—,—,50–100 mg/kg elemental Ca IV (≈ 0.5–1 mL/kg of 10%) slow,Same,Caution in renal failure,No adjustment,,,,,,"=IF(ISBLANK($O70), """", $O70*1.0)","=IF(ISBLANK($O70), """", $O70*1.5)","=IF(ISBLANK($O70), """", $O70*2.0)","=IF(ISBLANK($O70), """", 4*MIN(10,$O70) + 2*MAX(0,MIN(10,$O70-10)) + 1*MAX(0,$O70-20))","=IF(ISBLANK($O70), """", $O70*30)"
Sodium bicarbonate,IV,50–150 mEq IV infusion or 50 mEq IV push (code),PRN/infusion,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O71), """", $O71*1.0)","=IF(ISBLANK($O71), """", $O71*1.5)","=IF(ISBLANK($O71), """", $O71*2.0)","=IF(ISBLANK($O71), """", 4*MIN(10,$O71) + 2*MAX(0,MIN(10,$O71-10)) + 1*MAX(0,$O71-20))","=IF(ISBLANK($O71), """", $O71*30)"
Acetaminophen,"PO, IV, PR","650–1,000 mg PO/IV q6–8h (max 3–4 g/day)",q6–8h,—,10–15 mg/kg q6h (max 75 mg/kg/day; do not exceed 4 g/day),10–15 mg/kg q6h,10–15 mg/kg q6h (teen max adult),No adjustment; extend interval if severe renal failure,Reduce max daily dose in hepatic impairment; avoid in acute failure,,,,,,"=IF(ISBLANK($O72), """", $O72*1.0)","=IF(ISBLANK($O72), """", $O72*1.5)","=IF(ISBLANK($O72), """", $O72*2.0)","=IF(ISBLANK($O72), """", 4*MIN(10,$O72) + 2*MAX(0,MIN(10,$O72-10)) + 1*MAX(0,$O72-20))","=IF(ISBLANK($O72), """", $O72*30)"
Ibuprofen,PO,400–800 mg PO q6–8h (max 3.2 g/day),q6–8h,—,—,10 mg/kg q6–8h (max 40 mg/kg/day),10 mg/kg q6–8h (teen max adult),Avoid if severe renal impairment/AKI,Avoid decompensated cirrhosis,,,,,,"=IF(ISBLANK($O73), """", $O73*1.0)","=IF(ISBLANK($O73), """", $O73*1.5)","=IF(ISBLANK($O73), """", $O73*2.0)","=IF(ISBLANK($O73), """", 4*MIN(10,$O73) + 2*MAX(0,MIN(10,$O73-10)) + 1*MAX(0,$O73-20))","=IF(ISBLANK($O73), """", $O73*30)"
Ketorolac,"IV, IM",15–30 mg IV/IM q6h (max 5 days),q6h,—,—,0.5 mg/kg IV q6h (max 15 mg/dose; ≤5 days; ≥2 years),Same limits; avoid if renal risk,Contraindicated/avoid in renal failure,Use caution; avoid advanced hepatic disease/bleeding risk,,,,,,"=IF(ISBLANK($O74), """", $O74*1.0)","=IF(ISBLANK($O74), """", $O74*1.5)","=IF(ISBLANK($O74), """", $O74*2.0)","=IF(ISBLANK($O74), """", 4*MIN(10,$O74) + 2*MAX(0,MIN(10,$O74-10)) + 1*MAX(0,$O74-20))","=IF(ISBLANK($O74), """", $O74*30)"
Oxycodone,PO,5–10 mg PO q4–6h PRN (opioid‑naïve),q4–6h PRN,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O75), """", $O75*1.0)","=IF(ISBLANK($O75), """", $O75*1.5)","=IF(ISBLANK($O75), """", $O75*2.0)","=IF(ISBLANK($O75), """", 4*MIN(10,$O75) + 2*MAX(0,MIN(10,$O75-10)) + 1*MAX(0,$O75-20))","=IF(ISBLANK($O75), """", $O75*30)"
Hydromorphone (IV),IV,0.2–1 mg IV q2–4h PRN,q2–4h PRN,—,—,0.01–0.02 mg/kg IV q3–4h PRN,Same,Reduce dose in renal failure,Reduce dose in hepatic failure,,,,,,"=IF(ISBLANK($O76), """", $O76*1.0)","=IF(ISBLANK($O76), """", $O76*1.5)","=IF(ISBLANK($O76), """", $O76*2.0)","=IF(ISBLANK($O76), """", 4*MIN(10,$O76) + 2*MAX(0,MIN(10,$O76-10)) + 1*MAX(0,$O76-20))","=IF(ISBLANK($O76), """", $O76*30)"
Morphine (IV),IV,2–4 mg IV q2–4h PRN,q2–4h PRN,—,—,0.05–0.1 mg/kg IV q2–4h PRN,Same; titrate,Reduce dose in renal failure (active metabolites),Reduce dose in hepatic impairment,,,,,,"=IF(ISBLANK($O77), """", $O77*1.0)","=IF(ISBLANK($O77), """", $O77*1.5)","=IF(ISBLANK($O77), """", $O77*2.0)","=IF(ISBLANK($O77), """", 4*MIN(10,$O77) + 2*MAX(0,MIN(10,$O77-10)) + 1*MAX(0,$O77-20))","=IF(ISBLANK($O77), """", $O77*30)"
Fentanyl (IV),IV,25–100 mcg IV q30–60min PRN or infusion 25–200 mcg/h,PRN / infusion,—,—,0.5–2 mcg/kg IV q30–60min PRN; infusion 0.5–3 mcg/kg/h,Same,No adjustment; preferred in renal failure,Reduce dose in severe hepatic impairment,,,,,,"=IF(ISBLANK($O78), """", $O78*1.0)","=IF(ISBLANK($O78), """", $O78*1.5)","=IF(ISBLANK($O78), """", $O78*2.0)","=IF(ISBLANK($O78), """", 4*MIN(10,$O78) + 2*MAX(0,MIN(10,$O78-10)) + 1*MAX(0,$O78-20))","=IF(ISBLANK($O78), """", $O78*30)"
Propofol,IV,5–80 mcg/kg/min titrated (induction 1–2.5 mg/kg),Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O79), """", $O79*1.0)","=IF(ISBLANK($O79), """", $O79*1.5)","=IF(ISBLANK($O79), """", $O79*2.0)","=IF(ISBLANK($O79), """", 4*MIN(10,$O79) + 2*MAX(0,MIN(10,$O79-10)) + 1*MAX(0,$O79-20))","=IF(ISBLANK($O79), """", $O79*30)"
Dexmedetomidine,IV,0.2–1.5 mcg/kg/h titrated,Continuous,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O80), """", $O80*1.0)","=IF(ISBLANK($O80), """", $O80*1.5)","=IF(ISBLANK($O80), """", $O80*2.0)","=IF(ISBLANK($O80), """", 4*MIN(10,$O80) + 2*MAX(0,MIN(10,$O80-10)) + 1*MAX(0,$O80-20))","=IF(ISBLANK($O80), """", $O80*30)"
Lorazepam,"IV, PO",0.5–2 mg IV/PO q4–6h PRN (ETOH withdrawal protocols vary),q4–6h PRN,—,—,0.05–0.1 mg/kg IV/PO q4–6h PRN,Same,No adjustment (propylene glycol load IV—monitor),Use caution; reduce dose,,,,,,"=IF(ISBLANK($O81), """", $O81*1.0)","=IF(ISBLANK($O81), """", $O81*1.5)","=IF(ISBLANK($O81), """", $O81*2.0)","=IF(ISBLANK($O81), """", 4*MIN(10,$O81) + 2*MAX(0,MIN(10,$O81-10)) + 1*MAX(0,$O81-20))","=IF(ISBLANK($O81), """", $O81*30)"
Diazepam,"IV, PO",5–10 mg IV/PO q6–8h PRN,q6–8h PRN,—,—,0.2–0.5 mg/kg PR for seizures; IV 0.2 mg/kg slow push,Similar,No adjustment,Avoid severe hepatic impairment,,,,,,"=IF(ISBLANK($O82), """", $O82*1.0)","=IF(ISBLANK($O82), """", $O82*1.5)","=IF(ISBLANK($O82), """", $O82*2.0)","=IF(ISBLANK($O82), """", 4*MIN(10,$O82) + 2*MAX(0,MIN(10,$O82-10)) + 1*MAX(0,$O82-20))","=IF(ISBLANK($O82), """", $O82*30)"
Haloperidol,"IV, IM, PO",1–5 mg IV/IM/PO q4–6h PRN,q4–6h PRN,—,—,0.02–0.05 mg/kg/dose q6–8h PRN (max per institution),0.5–2 mg q6–8h PRN (teen),No adjustment,Reduce dose in hepatic impairment,,,,,,"=IF(ISBLANK($O83), """", $O83*1.0)","=IF(ISBLANK($O83), """", $O83*1.5)","=IF(ISBLANK($O83), """", $O83*2.0)","=IF(ISBLANK($O83), """", 4*MIN(10,$O83) + 2*MAX(0,MIN(10,$O83-10)) + 1*MAX(0,$O83-20))","=IF(ISBLANK($O83), """", $O83*30)"
Quetiapine,PO,25–100 mg PO q12h (titrate),q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O84), """", $O84*1.0)","=IF(ISBLANK($O84), """", $O84*1.5)","=IF(ISBLANK($O84), """", $O84*2.0)","=IF(ISBLANK($O84), """", 4*MIN(10,$O84) + 2*MAX(0,MIN(10,$O84-10)) + 1*MAX(0,$O84-20))","=IF(ISBLANK($O84), """", $O84*30)"
Olanzapine,"PO, IM",2.5–10 mg PO/IM q12–24h,q12–24h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O85), """", $O85*1.0)","=IF(ISBLANK($O85), """", $O85*1.5)","=IF(ISBLANK($O85), """", $O85*2.0)","=IF(ISBLANK($O85), """", 4*MIN(10,$O85) + 2*MAX(0,MIN(10,$O85-10)) + 1*MAX(0,$O85-20))","=IF(ISBLANK($O85), """", $O85*30)"
Levetiracetam,"IV, PO","500–1,500 mg IV/PO q12h",q12h,—,10–20 mg/kg q12h (titrate),10–30 mg/kg q12h (max 1.5 g q12h),Adult-like max 1.5 g q12h,Adjust by CrCl,No adjustment,,,,,,"=IF(ISBLANK($O86), """", $O86*1.0)","=IF(ISBLANK($O86), """", $O86*1.5)","=IF(ISBLANK($O86), """", $O86*2.0)","=IF(ISBLANK($O86), """", 4*MIN(10,$O86) + 2*MAX(0,MIN(10,$O86-10)) + 1*MAX(0,$O86-20))","=IF(ISBLANK($O86), """", $O86*30)"
Valproate (IV),"IV, PO",15–45 mg/kg/day divided q8–12h,q8–12h,—,—,10–15 mg/kg/day start; increase to 60 mg/kg/day divided,Same,No adjustment; monitor,Contraindicated in significant hepatic disease,,,,,,"=IF(ISBLANK($O87), """", $O87*1.0)","=IF(ISBLANK($O87), """", $O87*1.5)","=IF(ISBLANK($O87), """", $O87*2.0)","=IF(ISBLANK($O87), """", 4*MIN(10,$O87) + 2*MAX(0,MIN(10,$O87-10)) + 1*MAX(0,$O87-20))","=IF(ISBLANK($O87), """", $O87*30)"
Lacosamide,"IV, PO",100–200 mg IV/PO q12h,q12h,—,—,—,—,Check CrCl/eGFR; many agents require dose/interval adjustment; post-HD dosing for dialyzable meds,Use Child-Pugh guidance when applicable; reduce or avoid in severe hepatic impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O88), """", $O88*1.0)","=IF(ISBLANK($O88), """", $O88*1.5)","=IF(ISBLANK($O88), """", $O88*2.0)","=IF(ISBLANK($O88), """", 4*MIN(10,$O88) + 2*MAX(0,MIN(10,$O88-10)) + 1*MAX(0,$O88-20))","=IF(ISBLANK($O88), """", $O88*30)"
Phenytoin/fosphenytoin,"IV, PO",Load 15–20 mg/kg IV; maintain 4–6 mg/kg/day divided,q8–12h,—,—,Load 15–20 mg/kg; maintenance 5–8 mg/kg/day divided,Same,No adjustment; monitor levels (albumin/renal correction),Reduce dose; monitor in hepatic impairment (protein binding),,,,,,"=IF(ISBLANK($O89), """", $O89*1.0)","=IF(ISBLANK($O89), """", $O89*1.5)","=IF(ISBLANK($O89), """", $O89*2.0)","=IF(ISBLANK($O89), """", 4*MIN(10,$O89) + 2*MAX(0,MIN(10,$O89-10)) + 1*MAX(0,$O89-20))","=IF(ISBLANK($O89), """", $O89*30)"
